땀이 많이 나요.	I sweat a lot.	땀이
로그인하셨나요?	Did you log in?	로그인
저는 책을 읽었어요.	I read a book.	도중
저는 앞서 갈게요.	I will go ahead.	앞서
비가 계속 옵니다.	It keeps raining.	망치는
이 게시물을 좋아요.	I like this post.	게시물
제가 사진을 쐈습니다.	I took a photo.	쐈습니다
양은 어디에 있어요?	Where is the sheep?	양은
조리를 시작해요.	Let's start cooking.	조리를
이 바는 어디에 있어요?	Where is this bar?	바
이 일은 불가요.	This is not possible.	불가
등판 준비를 해요.	Prepare for the game.	등판
곤충을 좋아하세요?	Do you like insects?	곤충을
나는 새 신발을 구입해요.	I buy new shoes.	구입해
보이면 말해요.	Tell me if you see it.	보이면
비가 오는 날이었어요.	It was a rainy day.	인해
겨울철뿐 아니라	not only in winter	겨울철뿐 아니라
노예 같은 일이네요.	It's like slave work.	노예
영광스럽게 승리했어요.	I won gloriously.	영광스럽게
이 책을 읽고 나니까	After reading this book	싹
결론이 이것이다:	The conclusion is this:	결론이
글꼴을 바꿔 보세요.	Try changing the font.	글꼴
논쟁도 많지만,	There are many disputes,	논쟁도
법률상담이 필요해요.	I need legal advice.	법률상담
봉사 활동을 시작해요.	I start volunteering.	봉사'
그 부담이 매우 큽니다.	The burden is great.	부담을
구호를 외쳐 봐요.	Try shouting the slogan.	구호를
대폭 할인 중이에요.	There is a big discount.	대폭
책을 읽는 것을 좋아해요.	I like reading books.	등의
배관을 체크해주세요.	Please check the pipes.	배관을
데이터 분석중이에요.	I'm analyzing the data.	분석중
산행하고 피곤해요.	I'm tired after hiking.	산행하고
연탄들이 차가워요.	The briquettes are cold.	연탄들
못말리는 춤을 춰요.	I dance uncontrollably.	못말리는
오르막길을 올라가요.	I'm going up the hill.	오르막길을
우리는 같은 팀이에요.	We are on the same team.	같은
계정을 만들어주세요.	Please create an account.	계정
배포를 시작해요.	Let's start the deployment.	배포
우리는 벼농사를 짓습니다.	We are growing rice.	벼농사를
소규모 파티가 있어요.	There is a small party.	소규모
속설을 믿지 마세요.	Don't believe in rumors.	속설을
이에 그는 미소를 지었어요.	Upon this, he smiled.	이에
이 장면이 아름답네요.	This scene is beautiful.	장면이
주임은 어디에 있어요?	Where is the supervisor?	주임은
책 두 권을 겹쳐 주세요.	Please stack two books.	겹쳐
그래도 날씨가 좋아요.	But the weather is nice.	그래도
제가 손가락을 꼬집었어요.	I pinched my finger.	꼬집었어요
메뚜기는 점프를 잘해요.	Grasshoppers jump well.	메뚜기
책이 구석에 있어요.	The book is in the corner.	구석에
기부금도 필요해요.	Donations are also needed.	기부금도
이 문제를 살펴보기 위해	To look into this issue	살펴보기
요즘은 생활이 각박해요.	Life is tough these days.	각박한
이 케이크의 칼로리가 있어요.	This cake has calories.	달할
이 규칙은 명확하지 않아요.	This rule is not clear.	명확한
설정을 변경해 주세요.	Please change the settings.	변경
봉사활동이 필요해요.	Volunteer work is needed.	봉사활동이
