"Korean", "English"
"나는 내일 비가 올지도 모른다.","I don't know if it will rain tomorrow."
"필통이 필요해요.", "I need a pencil case."
"공부하기 위해 도서관에 가요.", "I go to the library to study."
"학교에 가곤 하지요.", "I often go to school."
"사라져요", "Disappear"
"외부 온도에 따라 물이 끓어요.", "Water boils depending on the outside temperature."
"밥을 먹으라요.", "Eat your meal!"
"물 마셨더니 목이 촉촉해요.", "My throat feels moist after drinking water."
"지갑을 잃은 모양이에요.", "It seems that I have lost my wallet."
"발음을 하다는 것은 어려워요.", "Pronunciation is difficult."
"집에서 너무 잤어요.", "I slept too much at home."
"나는 내일 학교에 가요.", "I am going to school tomorrow."
"일이 끝나면 휴식해요.", "I rest when the work is done."
"신문지를 매일 읽어요.", "I read the newspaper every day."
"이 꽃은 저 꽃만큼 예뻐요.", "This flower is as beautiful as that flower."
"해외 여행은 즐겁요!", "Traveling abroad is fun!"
"정답을 맞췄어요.", "You got the answer right."
"잠을 많이 자고 일찍 일어나요.", "I sleep a lot and wake up early."
"매일 아침 기도해요.", "I pray every morning."
"이번 주말에 비올 리가 없어요.", "It's not going to rain this weekend."
"어제 친구와 통화했어요.", "Yesterday, I had a conversation with my friend."
"운동하도록 일찍 일어나요.", "Wake up early to exercise."
"노는 게 아니라 공부해요.", "You should be studying, not playing."
"화창한 날에 산책한다.", "I take a walk on a sunny day."
"가방을 가져왔어요.", "I brought my bag."
"아침에 일어나야 했어요.", "I should have woken up in the morning."
"안타깝네요", "That's a shame"
"어제 했던 일을 다 기억해요.", "I remember everything I did yesterday."
"빨리 출발했어야 했어요.", "We should have left earlier."
"엄마가 오면, 놀러 갈 수 있어요.", "When mom comes, we can go play."
"나타나요", "It appears"
"목걸이를 살까요?", "Should I buy a necklace?"
"너와 함께 있으면 어색해요.", "It's awkward when I'm with you."
"이미 시간이 없어요.", "I don't have time anymore."
"그 영화는 재미있을걸요.", "That movie is going to be fun."
"흘러가요.", "It flows."
"말한 대로 해요.", "Do as you said."
"이리 와요.", "Come here."
"이 스타일은 참 멋있어요.", "This style is really cool."
"관리는 어렵지 않아요.", "Management is not difficult."
"학생으로서 열심히 공부해요.", "I study hard as a student."
"관광지에서 사진을 찍어요.", "I take pictures at the tourist spot."
"공부하려고 노력하세요.", "Please try to study."
"쳐다보지 말고, 집중하세요.", "Don't stare, focus."
"어제 관광지를 둘러봤어요.", "I toured around the tourist spots yesterday."
"젖어요.", "It's soaked."
"경기도에서 산책해요.", "I take a walk in Gyeonggi Province."
"놀 때는 즐겁게 여행을 합시다.", "Let's enjoy traveling when we are having fun."
"자세히 설명해 주세요.", "Please explain in detail."
"제 친구는 한국어를 배워요.", "My friend is learning Korean."
"군데에서 맛있는 음식 먹어요.", "I eat delicious food in various places."
"군대에 가고 싶어요.", "I want to go to the military."
"놀러 와요.", "Come to play."
